"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"94120709507098","Nodes","9507098",21.000000,22.581757,"DDS demands","Known Flow",555755.266387,98593.426310,,0.000000,-9.729999,,,,,,-8.700739,-9.729999,,"","",,,,,
"94120709507100","Nodes","9507100",21.000000,23.970381,"DDS demands","Known Flow",555650.836323,98287.011144,,0.000000,-6.000000,,,,-5.449999,,-10.238795,-11.449999,,"","",,,,"",
"94120709507020","Nodes","9507020",21.000000,23.028408,"Default Known Flow Node","Known Flow",555501.838631,98739.818569,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120709507038","Nodes","9507038",21.000000,25.446108,"DDS demands","Known Flow",555937.823210,98139.274037,,0.000000,,,,,-13.729999,,-12.277611,-13.729999,,"",,,,,"D1 PROFILE",
"94120709507068","Nodes","P07115330, Eastbourne Road, 11.82",22.999998,30.527374,"CSEP DDS Matched","Known Flow",555804.417395,97988.053874,,0.000000,,,,,,-11.819999,-10.569655,-11.819999,,"",,,,,,"DC PROFILE"
"94120700326839","Nodes","326839",21.000000,31.648466,"Default Known Flow Node","Known Flow",555840.496288,97952.296953,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120709507055","Nodes","9507055",21.000000,24.708014,"DDS demands","Known Flow",556098.335936,98132.764141,,0.000000,,,,,-3.780000,,-3.380143,-3.780000,,"",,,,,"D1 PROFILE",
"94120709507054","Nodes","9507054",21.000000,24.711133,"DDS demands","Known Flow",556103.027648,98145.282404,,0.000000,,,,,-11.539999,,-10.319274,-11.539999,,"",,,,,"D1 PROFILE",
"94120709507080","Nodes","9507080",21.000000,25.569494,"Default Known Flow Node","Known Flow",555937.672526,98110.318666,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120709507037","Nodes","9507037",21.000000,25.276371,"DDS demands","Known Flow",555944.668606,98106.948939,,0.000000,,,,,-20.659999,,-18.474541,-20.659999,,"",,,,,"D1 PROFILE",
"94120700000053","Nodes","53",21.000000,29.936121,"Default Known Flow Node","Known Flow",555661.667357,98103.178905,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120709507033","Nodes","9507033",21.000000,27.727256,"DDS demands","Known Flow",555808.446560,98189.152115,,0.000000,,,,,-10.090000,,-9.022658,-10.090000,,"",,,,,"D1 PROFILE",
"94120709507032","Nodes","9507032",21.000000,25.704540,"DDS demands","Known Flow",555864.417412,98325.803965,,0.000000,,,,,-20.009999,,-17.893300,-20.009999,,"",,,,,"D1 PROFILE",
"94120700000138","Nodes","138",21.000000,23.026892,"Default Known Flow Node","Known Flow",556194.917502,98531.179021,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120709507049","Nodes","9507049",21.000000,22.825610,"DDS demands","Known Flow",556121.681278,98393.766451,,0.000000,,,,,-9.859999,,-8.816988,-9.859999,,"",,,,,"D1 PROFILE",
"94120700000098","Nodes","98",21.000000,22.904261,"DDS demands","Known Flow",556075.542469,98250.678945,,0.000000,,,,,-3.319999,,-2.968803,-3.319999,,"",,,,,"",
"94120709507097","Nodes","9507097",21.000000,22.640016,"DDS demands","Known Flow",556112.814991,98735.245047,,0.000000,,,,,-10.270000,,-9.183618,-10.270000,,"",,,,,"",
"94120709507045","Nodes","9507045",21.000000,23.142569,"DDS demands","Known Flow",556174.042496,98620.804046,,0.000000,,,,,-19.120001,,-17.097448,-19.120001,,"",,,,,"D1 PROFILE",
"94120709507041","Nodes","9507041",21.000000,22.508982,"DDS demands","Known Flow",555966.711518,98821.057016,,0.000000,,,,,-17.350000,,-15.514680,-17.350000,,"",,,,,"D1 PROFILE",
"94120709507043","Nodes","9507043",21.000000,22.842165,"DDS demands","Known Flow",556034.167458,98549.679026,,0.000000,,,,,-13.520000,,-12.089825,-13.520000,,"",,,,,"D1 PROFILE",
"94120700000142","Nodes","142",21.000000,22.822895,"Default Known Flow Node","Known Flow",556029.292457,98551.429027,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120709507101","Nodes","9507101",21.000000,23.705347,"DDS demands","Known Flow",555521.167318,98388.678983,,0.000000,,,,,-8.590000,,-7.681332,-8.590000,,"",,,,,"",
"94120709507025","Nodes","9507025",21.000000,23.161364,"DDS demands","Known Flow",555609.578955,98584.348961,,0.000000,,,,,-7.109999,,-6.357889,-7.109999,,"",,,,,"D1 PROFILE",
"94120709507024","Nodes","9507024",21.000000,22.691524,"DDS demands","Known Flow",555699.292367,98630.554048,,0.000000,,,,,-13.179999,,-11.785791,-13.179999,,"",,,,,"D1 PROFILE",
"94120700000016","Nodes","16",21.000000,27.649616,"Default Known Flow Node","Known Flow",555592.042338,97811.928826,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120709507012","Nodes","P00107624, Green New House Farm, 11.54",22.999998,27.701937,"CSEP DDS Matched","Known Flow",555681.778124,97798.158216,,0.000000,,,-5.619999,-1.739999,-44.270002,-9.800000,-54.931807,-61.430001,,"",,,"C4 PROFILE","","D1 PROFILE","DC PROFILE"
"94120701462469","Nodes","1462469",21.000000,27.690052,"Default Known Flow Node","Known Flow",555621.917346,97866.678840,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120701462468","Nodes","1462468",21.000000,27.558775,"Default Known Flow Node","Known Flow",555627.866028,97861.198891,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120709507072","Nodes","9507072",21.000000,27.256204,"DDS demands","Known Flow",555637.359725,97754.572235,,0.000000,-41.170000,,,,,,-36.814952,-41.170000,,"","C1 PROFILE",,,,,
"94120709507011","Nodes","9507011",21.000000,28.121730,"DDS demands","Known Flow",555760.667384,97923.428856,,0.000000,,,,,-8.989999,,-8.039018,-8.989999,,"",,,,,"D1 PROFILE",
"94120700000007","Nodes","7",21.000000,27.059019,"Default Known Flow Node","Known Flow",555736.667377,97580.678763,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
