"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-1313.759999","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-749.819995","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-499.009996","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-116.319997","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-61.080002","0.000000","1.000000","Volumetric","-1.000000"
"C3","Flow Categories","-14.399999","0.000000","1.000000","Volumetric","-1.000000"
"DL","Flow Categories","","","1.000000","Volumetric","-1.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"PL-DC","Flow Categories","-5.539999","0.000000","1.000000","Volumetric","-1.000000"
"PL-AF","Flow Categories","-32.310001","0.000000","1.000000","Volumetric","-1.000000"
