"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(D1)"
"94122209903041","Nodes","9903041",21.000000,23.825602,"DDS demands","Known Flow",546544.655000,100408.800000,,0.000000,-12.579999,-11.249261,-12.579999,,"","D1 PROFILE"
"94122209903078","Nodes","9903078",21.000000,23.186303,"Default Known Flow Node","Known Flow",546585.280000,100318.050000,,0.000000,,0.000000,0.000000,,"",
"94122209903053","Nodes","9903053",21.000000,32.496027,"DDS demands","Known Flow",546209.155000,100801.800000,,0.000000,-9.819999,-8.781219,-9.819999,,"","D1 PROFILE"
"94122209903015","Nodes","9903015",21.000000,32.399743,"DDS demands","Known Flow",546233.155000,100730.948437,,0.000000,-3.940000,-3.523218,-3.940000,,"","D1 PROFILE"
"94122209903055","Nodes","9903055",21.000000,32.346495,"Default Known Flow Node","Known Flow",546280.780000,100697.300000,,0.000000,,0.000000,0.000000,,"",
"94122209903017","Nodes","9903017",21.000000,31.572087,"DDS demands","Known Flow",546530.842500,100664.753125,,0.000000,-11.989999,-10.721671,-11.989999,,"","D1 PROFILE"
"94122209903074","Nodes","9903074",21.000000,33.808087,"DDS demands","Known Flow",546501.655000,100730.300000,,0.000000,-4.849999,-4.336956,-4.849999,,"","D1 PROFILE"
"94122209903068","Nodes","9903068",21.000000,27.120404,"DDS demands","Known Flow",546356.405000,100717.432812,,0.000000,-10.339999,-9.246212,-10.339999,,"","D1 PROFILE"
"94122209903021","Nodes","9903021",21.000000,25.314549,"DDS demands","Known Flow",546431.342500,100606.651562,,0.000000,-18.350000,-16.408899,-18.350000,,"","D1 PROFILE"
"94122209903022","Nodes","9903022",21.000000,23.168147,"DDS demands","Known Flow",546592.280000,100320.300000,,0.000000,-7.269999,-6.500963,-7.269999,,"","D1 PROFILE"
"94122209903089","Nodes","9903089",21.000000,24.284568,"DDS demands","Known Flow",546690.030000,100428.682812,,0.000000,-4.260000,-3.809368,-4.260000,,"","D1 PROFILE"
"94122209903018","Nodes","9903018",21.000000,24.543595,"DDS demands","Known Flow",546685.155000,100434.932812,,0.000000,-9.159999,-8.191036,-9.159999,,"","D1 PROFILE"
"94122209903023","Nodes","9903023",21.000000,24.969193,"DDS demands","Known Flow",546551.905000,100414.432812,,0.000000,-10.180000,-9.103139,-10.180000,,"","D1 PROFILE"
"94122209903083","Nodes","9903083",21.000000,26.649408,"DDS demands","Known Flow",546646.405000,100499.550000,,0.000000,-2.539999,-2.271313,-2.539999,,"","D1 PROFILE"
"94122209903040","Nodes","9903040",21.000000,23.807312,"DDS demands","Known Flow",546714.780000,100447.682812,,0.000000,-9.249999,-8.271515,-9.249999,,"","D1 PROFILE"
