"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)"
"96108405310018","Nodes","5310018,","21.000000","23.927906","DDS demands","Known Flow","608469.806725","127410.311880","","0.000000","","","-3.549999","","","-3.174473","-3.549999","","","","","D1 PROFILE","",""
"96108400000074","Nodes","74,","21.000000","23.646541","Default Known Flow Node","Known Flow","608507.622991","127378.342495","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108405310206","Nodes","5310206,","21.000000","48.833157","DDS demands","Known Flow","609161.615068","127757.536118","","0.000000","","","-5.739999","","","-5.132810","-5.739999","","","","","D1 PROFILE","",""
"96108401462540","Nodes","1462540,","21.000000","28.438117","Default Known Flow Node","Known Flow","608557.322335","127147.565829","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108405310013","Nodes","5310013,","21.000000","23.454288","DDS demands","Known Flow","608940.710663","127391.370522","","0.000000","","","-14.840000","","","-13.270194","-14.840000","","","","","D1 PROFILE","",""
"96108405310029","Nodes","5310029,","21.000000","25.126059","DDS demands","Known Flow","608889.052619","127731.818093","","0.000000","","","-19.130000","","","-17.106388","-19.130000","","","","","D1 PROFILE","",""
"96108400002604","Nodes","Logger 2604,","21.000000","25.055518","Default Known Flow Node","Known Flow","609007.004272","127715.805174","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108405310031","Nodes","5310031,","21.000000","25.051646","DDS demands","Known Flow","609013.659417","127720.187301","","0.000000","","","-4.030000","","","-3.603698","-4.030000","","","","","D1 PROFILE","",""
"96108405310027","Nodes","5310027,","21.000000","24.180379","DDS demands","Known Flow","608461.056722","127408.186879","","0.000000","","","-9.079999","","","-8.119498","-9.079999","","","","","D1 PROFILE","",""
"96108405310026","Nodes","5310026,","21.000000","24.397723","DDS demands","Known Flow","608505.681735","127481.936899","","0.000000","","","-8.839999","","","-7.904886","-8.839999","","","","","D1 PROFILE","",""
"96108401462499","Nodes","1462499,","21.000000","24.036313","DDS demands","Known Flow","608511.431736","127475.061897","","0.000000","","","-4.719999","","","-4.220708","-4.719999","","","","","D1 PROFILE","",""
"96108405310016","Nodes","5310016,","21.000000","23.129521","DDS demands","Known Flow","608609.181763","127401.436877","","0.000000","","","-14.020000","","","-12.536936","-14.020000","","","","","D1 PROFILE","",""
"96108405310015","Nodes","5310015,","21.000000","22.923244","DDS demands","Known Flow","608654.707222","127294.888139","","0.000000","","","-16.190000","","","-14.477388","-16.190000","","","","","D1 PROFILE","",""
