"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"C4","Flow Categories","-9.039999","0.000000","1.000000","Volumetric","-1.000000"
"D1","Flow Categories","-620.540008","0.000000","1.000000","Volumetric","-1.000000"
"C3","Flow Categories","-0.820000","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-38.590002","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-32.349999","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-55.509997","0.000000","1.000000","Volumetric","-1.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"PL-DC","Flow Categories","-56.489999","0.000000","1.000000","Volumetric","0"
