"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96112106202005","Nodes","""HARTLEY COURT GARDENS, Site ID 4501","21.000000","45.000001","Default Known Pressure Node","Known Pressure","576157.922934","134989.688942","","419.999989","","","","","","","","","","","89.453715","100.035697","","","","","","","","","","","",""
"96112106202003","Nodes","BAKERS CROSS, Site ID 4503","21.000000","45.000001","Default Known Pressure Node","Known Pressure","578006.048436","135879.189184","","9682.000265","","","","","","","","","","","1093.501921","1222.858576","","","","","","","","","","","",""
"96112106202004","Nodes","ANGLEY ROAD, Site ID 4502","21.000000","45.000001","Default Known Pressure Node","Known Pressure","576792.298106","135736.064145","","1770.000037","","","","","","","","","","","342.678440","383.215819","","","","","","","","","","","",""
"96112100000014","Nodes","","0.000000","29.978028","DDS demands","Known Flow","577852.289679","136952.099454","","0.000000","","","","","-0.950000","","","","","","-0.849507","-0.950000","","","","","","","D1 PROFILE","","","","",""
"96112100000015","Nodes","WILSLEY LODGE RRI","0.000000","30.000037","Default Known Pressure Node","Known Pressure","577883.921812","136932.276651","","0.000000","","","","","","","","","","","0.849507","0.950000","","","","","","","","","","","",""
"96112100000016","Nodes","","0.000000","30.128805","Point Loads","Known Flow","577863.449959","136898.466275","","0.000000","","","","","-0.950000","","","","","","-0.849507","-0.950000","","","","","","","D1 PROFILE","","","","",""
"96112100000018","Nodes","WILSLEY LODGE RRI","0.000000","30.000037","Default Known Pressure Node","Known Pressure","577898.063035","136925.694097","","0.000000","","","","","","","","","","","0.849507","0.950000","","","","","","","","","","","",""
"96112106202054","Nodes","6202054","21.000000","43.690943","DDS demands","Known Flow","576560.548043","135440.939065","","0.000000","","","-1.770000","","-10.509999","","","","","","-10.980995","-12.279999","","","","","C3 PROFILE","","D1 PROFILE","","","","",""
"96112100206901","Nodes","-206901","21.000000","43.690943","Default Known Flow Node","Known Flow","576598.923054","135326.189034","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202053","Nodes","6202053","21.000000","44.193497","DDS demands","Known Flow","576259.047961","135174.188992","","0.000000","","","-11.549999","","-24.769999","","","","","","-32.477993","-36.319999","","","","","C3 PROFILE","","D1 PROFILE","","","","",""
