"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-123.489998","0.000000","1.000000","Volumetric","-1.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"DM","Flow Categories","","","1.000000","Volumetric","0"
"DC","Flow Categories","-27.880000","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-13.579999","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-32.439999","0.000000","1.000000","Volumetric","-1.000000"
"CT-CT","Flow Categories","-9.050000","0.000000","1.000000","Volumetric","-1.000000"
